#queryIndex	queryItem	stringId	preferredName	annotation
169	Ubiquitin-like-conjugating enzyme ATG3	9606.ENSP00000283290	ATG3	Ubiquitin-like-conjugating enzyme ATG3; E2 conjugating enzyme required for the cytoplasm to vacuole transport (Cvt), autophagy, and mitochondrial homeostasis. Responsible for the E2-like covalent binding of phosphatidylethanolamine to the C- terminal Gly of ATG8-like proteins (GABARAP, GABARAPL1, GABARAPL2 or MAP1LC3A). The ATG12-ATG5 conjugate plays a role of an E3 and promotes the transfer of ATG8-like proteins from ATG3 to phosphatidylethanolamine (PE). This step is required for the membrane association of ATG8-like proteins. The formation of the ATG8- phosphatidylethanolamine conju [...] 
171	Interferon-induced guanylate-binding protein 2	9606.ENSP00000359497	GBP2	Guanylate-binding protein 2; Hydrolyzes GTP to GMP in 2 consecutive cleavage reactions, but the major reaction product is GDP. Exhibits antiviral activity against influenza virus. Promotes oxidative killing and delivers antimicrobial peptides to autophagolysosomes, providing broad host protection against different pathogen classes (By similarity); Belongs to the TRAFAC class dynamin-like GTPase superfamily. GB1/RHD3-type GTPase family. GB1 subfamily.
172	NADH-cytochrome b5 reductase 1	9606.ENSP00000356218	CYB5R1	NADH-cytochrome b5 reductase 1; NADH-cytochrome b5 reductases are involved in desaturation and elongation of fatty acids, cholesterol biosynthesis, drug metabolism, and, in erythrocyte, methemoglobin reduction. Belongs to the flavoprotein pyridine nucleotide cytochrome reductase family.
173	Interleukin enhancer-binding factor 2	9606.ENSP00000355011	ILF2	Interleukin enhancer-binding factor 2; Appears to function predominantly as a heterodimeric complex with ILF3. This complex may regulate transcription of the IL2 gene during T-cell activation. It can also promote the formation of stable DNA-dependent protein kinase holoenzyme complexes on DNA. Essential for the efficient reshuttling of ILF3 (isoform 1 and isoform 2) into the nucleus.
174	Galectin-1	9606.ENSP00000215909	LGALS1	Galectin-1; Lectin that binds beta-galactoside and a wide array of complex carbohydrates. Plays a role in regulating apoptosis, cell proliferation and cell differentiation. Inhibits CD45 protein phosphatase activity and therefore the dephosphorylation of Lyn kinase. Strong inducer of T-cell apoptosis.
175	Interferon-induced protein with tetratricopeptide repeats 5	9606.ENSP00000360860	IFIT5	Interferon-induced protein with tetratricopeptide repeats 5; Interferon-induced RNA-binding protein involved in the human innate immune response. Has a broad and adaptable RNA structure recognition important for RNA recognition specificity in antiviral defense. Binds precursor and processed tRNAs as well as poly-U-tailed tRNA fragments. Specifically binds single-stranded RNA bearing a 5'-triphosphate group (PPP-RNA), thereby acting as a sensor of viral single-stranded RNAs. Single-stranded PPP-RNAs, which lack 2'-O-methylation of the 5' cap and bear a 5'-triphosphate group instead, are [...] 
176	SRSF protein kinase 1	9606.ENSP00000362931	SRPK1	SRSF protein kinase 1; Serine/arginine-rich protein-specific kinase which specifically phosphorylates its substrates at serine residues located in regions rich in arginine/serine dipeptides, known as RS domains and is involved in the phosphorylation of SR splicing factors and the regulation of splicing. Plays a central role in the regulatory network for splicing, controlling the intranuclear distribution of splicing factors in interphase cells and the reorganization of nuclear speckles during mitosis. Can influence additional steps of mRNA maturation, as well as other cellular activiti [...] 
177	Lethal(2) giant larvae protein homolog 1	9606.ENSP00000321537	LLGL1	Lethal(2) giant larvae protein homolog 1; Cortical cytoskeleton protein found in a complex involved in maintaining cell polarity and epithelial integrity. Involved in the regulation of mitotic spindle orientation, proliferation, differentiation and tissue organization of neuroepithelial cells. Involved in axonogenesis through RAB10 activation thereby regulating vesicular membrane trafficking toward the axonal plasma membrane.
178	La-related protein 1	9606.ENSP00000321997	LARP1B	La ribonucleoprotein 1B; Belongs to the LARP family.
179	COP9 signalosome complex subunit 5	9606.ENSP00000350512	COPS5	COP9 signalosome complex subunit 5; Probable protease subunit of the COP9 signalosome complex (CSN), a complex involved in various cellular and developmental processes. The CSN complex is an essential regulator of the ubiquitin (Ubl) conjugation pathway by mediating the deneddylation of the cullin subunits of the SCF-type E3 ligase complexes, leading to decrease the Ubl ligase activity of SCF-type complexes such as SCF, CSA or DDB2. The complex is also involved in phosphorylation of p53/TP53, c-jun/JUN, IkappaBalpha/NFKBIA, ITPK1 and IRF8, possibly via its association with CK2 and PKD  [...] 
180	Transcription and mRNA export factor ENY2	9606.ENSP00000429986	ENY2	Transcription and mRNA export factor ENY2; Involved in mRNA export coupled transcription activation by association with both the TREX-2 and the SAGA complexes. The transcription regulatory histone acetylation (HAT) complex SAGA is a multiprotein complex that activates transcription by remodeling chromatin and mediating histone acetylation and deubiquitination. Within the SAGA complex, participates in a subcomplex that specifically deubiquitinates both histones H2A and H2B. The SAGA complex is recruited to specific gene promoters by activators such as MYC, where it is required for trans [...] 
181	Eukaryotic translation initiation factor 2 subunit 2	9606.ENSP00000253039	EIF2S3	Eukaryotic translation initiation factor 2 subunit 3; As a subunit of eukaryotic initiation factor 2 (eIF2), involved in the early steps of protein synthesis. In the presence of GTP, eIF2 forms a ternary complex with initiator tRNA Met-tRNAi and then recruits the 40S ribosomal complex, a step that determines the rate of protein translation. This step is followed by mRNA binding to form the 43S pre-initiation complex. Junction of the 60S ribosomal subunit to form the 80S initiation complex is preceded by hydrolysis of the GTP bound to eIF2 and release of an eIF2-GDP binary complex. In o [...] 
182	Follistatin-related protein 1	9606.ENSP00000295633	FSTL1	Follistatin-related protein 1; May modulate the action of some growth factors on cell proliferation and differentiation. Binds heparin (By similarity).
183	SPRY domain-containing protein 4	9606.ENSP00000338034	SPRYD4	SPRY domain containing 4.
184	Zinc finger CCCH domain-containing protein 4	9606.ENSP00000253048	ZC3H4	Zinc finger CCCH-type containing 4.
185	Adenosine kinase	9606.ENSP00000443965	ADK	Adenosine kinase; ATP dependent phosphorylation of adenosine and other related nucleoside analogs to monophosphate derivatives. Serves as a potential regulator of concentrations of extracellular adenosine and intracellular adenine nucleotides; Belongs to the carbohydrate kinase PfkB family.
186	CUGBP Elav-like family member 2	9606.ENSP00000488422	CELF2	CUGBP Elav-like family member 2; RNA-binding protein implicated in the regulation of several post-transcriptional events. Involved in pre-mRNA alternative splicing, mRNA translation and stability. Mediates exon inclusion and/or exclusion in pre-mRNA that are subject to tissue-specific and developmentally regulated alternative splicing. Specifically activates exon 5 inclusion of TNNT2 in embryonic, but not adult, skeletal muscle. Activates TNNT2 exon 5 inclusion by antagonizing the repressive effect of PTB. Acts as both an activator and repressor of a pair of coregulated exons: promotes [...] 
187	PRA1 family protein 3	9606.ENSP00000273258	ARL6IP5	PRA1 family protein 3; Regulates intracellular concentrations of taurine and glutamate. Negatively modulates SLC1A1/EAAC1 glutamate transport activity by decreasing its affinity for glutamate in a PKC activity- dependent manner. May be involved in membrane traffic.
188	Alpha-soluble NSF attachment protein	9606.ENSP00000263354	NAPA	Alpha-soluble NSF attachment protein; Required for vesicular transport between the endoplasmic reticulum and the Golgi apparatus (Probable). Together with GNA12 promotes CDH5 localization to plasma membrane. Belongs to the SNAP family.
189	Rap1 GTPase-GDP dissociation stimulator 1	9606.ENSP00000340454	RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1; Stimulates GDP/GTP exchange reaction of a group of small GTP- binding proteins (G proteins) including Rap1a/Rap1b, RhoA, RhoB and KRas, by stimulating the dissociation of GDP from and the subsequent binding of GTP to each small G protein.
190	Aladin	9606.ENSP00000209873	AAAS	Aladin; Plays a role in the normal development of the peripheral and central nervous system. Required for the correct localization of aurora kinase AURKA and the microtubule minus end-binding protein NUMA1 as well as a subset of AURKA targets which ensures proper spindle formation and timely chromosome alignment.
191	Dedicator of cytokinesis protein 10	9606.ENSP00000493664	DOCK10	Dedicator of cytokinesis protein 10; Guanine nucleotide-exchange factor (GEF) that activates CDC42 and RAC1 by exchanging bound GDP for free GTP. Essential for dendritic spine morphogenesis in Purkinje cells and in hippocampal neurons, via a CDC42-mediated pathway. Sustains B-cell lymphopoiesis in secondary lymphoid tissues and regulates FCER2/CD23 expression. Belongs to the DOCK family.
193	Peptidyl-prolyl cis-trans isomerase	9606.ENSP00000378046	FKBP2	Peptidyl-prolyl cis-trans isomerase FKBP2; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides.
194	Proteasome subunit beta type-8	9606.ENSP00000364016	PSMB8	Proteasome subunit beta type-8; The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity. This subunit is involved in antigen processing to generate class I binding peptides. Replacement of PSMB5 by PSMB8 increases the capacity of the immunoproteasome to cleave model peptides after hydrophobic and basic residues. Involved in the generation of spliced peptides resulting from the liga [...] 
195	Neuron-specific calcium-binding protein hippocalcin	9606.ENSP00000362566	HPCA	Neuron-specific calcium-binding protein hippocalcin; Calcium-binding protein that may play a role in the regulation of voltage-dependent calcium channels. May also play a role in cyclic-nucleotide-mediated signaling through the regulation of adenylate and guanylate cyclases (By similarity). Belongs to the recoverin family.
196	Hippocalcin-like protein 1	9606.ENSP00000483786	HPCAL1	Hippocalcin-like protein 1; May be involved in the calcium-dependent regulation of rhodopsin phosphorylation; Belongs to the recoverin family.
197	Persulfide dioxygenase ETHE1, mitochondrial	9606.ENSP00000292147	ETHE1	Persulfide dioxygenase ETHE1, mitochondrial; Sulfur dioxygenase that plays an essential role in hydrogen sulfide catabolism in the mitochondrial matrix. Hydrogen sulfide (H(2)S) is first oxidized by SQRDL, giving rise to cysteine persulfide residues. ETHE1 consumes molecular oxygen to catalyze the oxidation of the persulfide, once it has been transferred to a thiophilic acceptor, such as glutathione (R-SSH). Plays an important role in metabolic homeostasis in mitochondria by metabolizing hydrogen sulfide and preventing the accumulation of supraphysiological H(2)S levels that have toxic [...] 
198	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	9606.ENSP00000196371	OXCT1	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial; Key enzyme for ketone body catabolism. Transfers the CoA moiety from succinate to acetoacetate. Formation of the enzyme-CoA intermediate proceeds via an unstable anhydride species formed between the carboxylate groups of the enzyme and substrate; Belongs to the 3-oxoacid CoA-transferase family.
199	CD59 glycoprotein	9606.ENSP00000498879	CD59	CD59 glycoprotein; Potent inhibitor of the complement membrane attack complex (MAC) action. Acts by binding to the C8 and/or C9 complements of the assembling MAC, thereby preventing incorporation of the multiple copies of C9 required for complete formation of the osmolytic pore. This inhibitor appears to be species-specific. Involved in signal transduction for T-cell activation complexed to a protein tyrosine kinase.
200	Syntaxin-4	9606.ENSP00000317714	STX4	Syntaxin-4; Plasma membrane t-SNARE that mediates docking of transport vesicles. Necessary for the translocation of SLC2A4 from intracellular vesicles to the plasma membrane. Together with STXB3 and VAMP2, may also play a role in docking/fusion of intracellular GLUT4-containing vesicles with the cell surface in adipocytes (By similarity). May also play a role in docking of synaptic vesicles at presynaptic active zones; Belongs to the syntaxin family.
201	UMP-CMP kinase	9606.ENSP00000360939	CMPK1	UMP-CMP kinase; Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors. Also displays broad nucleoside diphosphate kinase activity.
202	AH receptor-interacting protein	9606.ENSP00000279146	AIP	AH receptor-interacting protein; May play a positive role in AHR-mediated (aromatic hydrocarbon receptor) signaling, possibly by influencing its receptivity for ligand and/or its nuclear targeting.
203	Retinol dehydrogenase 11	9606.ENSP00000370750	RDH11	Retinol dehydrogenase 11; Retinol dehydrogenase with a clear preference for NADP. Displays high activity towards 9-cis, 11-cis and all-trans-retinol, and to a lesser extent on 13-cis-retinol. Exhibits a low reductive activity towards unsaturated medium-chain aldehydes such as cis -6-nonenal and no activity toward nonanal or 4-hydroxy-nonenal. Has no dehydrogenase activity towards steroid.
204	Transcription elongation factor SPT5	9606.ENSP00000470252	SUPT5H	Transcription elongation factor SPT5; Component of the DRB sensitivity-inducing factor complex (DSIF complex), which regulates mRNA processing and transcription elongation by RNA polymerase II. DSIF positively regulates mRNA capping by stimulating the mRNA guanylyltransferase activity of RNGTT/CAP1A. DSIF also acts cooperatively with the negative elongation factor complex (NELF complex) to enhance transcriptional pausing at sites proximal to the promoter. Transcriptional pausing may facilitate the assembly of an elongation competent RNA polymerase II complex. DSIF and NELF promote paus [...] 
206	Fascin	9606.ENSP00000371798	FSCN1	Fascin; Actin-binding protein that contains 2 major actin binding sites. Organizes filamentous actin into parallel bundles. Plays a role in the organization of actin filament bundles and the formation of microspikes, membrane ruffles, and stress fibers. Important for the formation of a diverse set of cell protrusions, such as filopodia, and for cell motility and migration. Mediates reorganization of the actin cytoskeleton and axon growth cone collapse in response to NGF.
207	Peroxiredoxin-5, mitochondrial	9606.ENSP00000265462	PRDX5	Peroxiredoxin-5, mitochondrial; Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of hydrogen peroxide-mediated signaling events; Belongs to the peroxiredoxin family. Prx5 subfamily.
208	Ras GTPase-activating-like protein IQGAP1	9606.ENSP00000268182	IQGAP1	Ras GTPase-activating-like protein IQGAP1; Plays a crucial role in regulating the dynamics and assembly of the actin cytoskeleton. Binds to activated CDC42 but does not stimulate its GTPase activity. It associates with calmodulin. Could serve as an assembly scaffold for the organization of a multimolecular complex that would interface incoming signals to the reorganization of the actin cytoskeleton at the plasma membrane. May promote neurite outgrowth. May play a possible role in cell cycle regulation by contributing to cell cycle progression after DNA replication arrest.
209	Elongation factor G, mitochondrial	9606.ENSP00000264263	GFM1	Elongation factor G, mitochondrial; Mitochondrial GTPase that catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome. Does not mediate the disassembly of ribosomes from messenger RNA at the termination of mito [...] 
211	Protein transport protein Sec31A	9606.ENSP00000378721	SEC31A	Protein transport protein Sec31A; Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules (By similarity).
212	Ras-related protein Rab-18	9606.ENSP00000478479	RAB18	Ras-related protein Rab-18; Plays a role in apical endocytosis/recycling. May be implicated in transport between the plasma membrane and early endosomes. Plays a key role in eye and brain development and neurodegeneration.
214	Lysophospholipase-like protein 1	9606.ENSP00000355895	LYPLAL1	Lysophospholipase-like protein 1; Has depalmitoylating activity toward KCNMA1. Does not exhibit phospholipase nor triacylglycerol lipase activity, able to hydrolyze only short chain substrates due to its shallow active site. Belongs to the AB hydrolase superfamily. AB hydrolase 2 family.
215	Protein Smaug homolog 2	9606.ENSP00000317224	SAMD4B	Protein Smaug homolog 2; Has transcriptional repressor activity. Overexpression inhibits the transcriptional activities of AP-1, p53/TP53 and CDKN1A. Belongs to the SMAUG family.
216	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1	9606.ENSP00000493536	SAMHD1	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1; Protein that acts both as a host restriction factor involved in defense response to virus and as a regulator of DNA end resection at stalled replication forks. Has deoxynucleoside triphosphate (dNTPase) activity, which is required to restrict infection by viruses, such as HIV-1: dNTPase activity reduces cellular dNTP levels to levels too low for retroviral reverse transcription to occur, blocking early- stage virus replication in dendritic and other myeloid cells. Likewise, suppresses LINE-1 retrotransposon activity. Not able to  [...] 
217	Spermatogenesis-associated protein 5	9606.ENSP00000274008	SPATA5	ATPase family protein 2 homolog; ATP-dependent chaperone which uses the energy provided by ATP hydrolysis to generate mechanical force to disassemble protein complexes. May be involved in morphological and functional mitochondrial transformations during spermatogenesis.
218	Serine/threonine-protein kinase 24	9606.ENSP00000365730	STK24	Serine/threonine-protein kinase 24 12 kDa subunit; Serine/threonine-protein kinase that acts on both serine and threonine residues and promotes apoptosis in response to stress stimuli and caspase activation. Mediates oxidative-stress-induced cell death by modulating phosphorylation of JNK1-JNK2 (MAPK8 and MAPK9), p38 (MAPK11, MAPK12, MAPK13 and MAPK14) during oxidative stress. Plays a role in a staurosporine-induced caspase-independent apoptotic pathway by regulating the nuclear translocation of AIFM1 and ENDOG and the DNase activity associated with ENDOG. Phosphorylates STK38L on 'Thr [...] 
219	Midkine	9606.ENSP00000385451	MDK	Midkine; Secreted protein that functions as cytokine and growth factor and mediates its signal through cell-surface proteoglycan and non- proteoglycan receptors. Binds cell-surface proteoglycan receptors via their chondroitin sulfate (CS) groups. Thereby regulates many processes like inflammatory response, cell proliferation, cell adhesion, cell growth, cell survival, tissue regeneration, cell differentiation and cell migration. Participates in inflammatory processes by exerting two different activities. Firstly, mediates neutrophils and macrophages recruitment to the sites of inflamma [...] 
220	Neutral cholesterol ester hydrolase 1	9606.ENSP00000442464	NCEH1	Neutral cholesterol ester hydrolase 1; Hydrolyzes 2-acetyl monoalkylglycerol ether, the penultimate precursor of the pathway for de novo synthesis of platelet-activating factor. May be responsible for cholesterol ester hydrolysis in macrophages, thereby contributing to the development of atherosclerosis. Also involved in organ detoxification by hydrolyzing exogenous organophosphorus compounds. May contribute to cancer pathogenesis by promoting tumor cell migration.
221	Uridine phosphorylase 1	9606.ENSP00000330032	UPP1	Uridine phosphorylase 1; Catalyzes the reversible phosphorylytic cleavage of uridine and deoxyuridine to uracil and ribose- or deoxyribose-1-phosphate. The produced molecules are then utilized as carbon and energy sources or in the rescue of pyrimidine bases for nucleotide synthesis.
223	Leucyl-cystinyl aminopeptidase	9606.ENSP00000231368	LNPEP	Leucyl-cystinyl aminopeptidase, pregnancy serum form; Release of an N-terminal amino acid, cleaves before cysteine, leucine as well as other amino acids. Degrades peptide hormones such as oxytocin, vasopressin and angiotensin III, and plays a role in maintaining homeostasis during pregnancy. May be involved in the inactivation of neuronal peptides in the brain. Cleaves Met-enkephalin and dynorphin. Binds angiotensin IV and may be the angiotensin IV receptor in the brain.
224	Cytochrome c oxidase subunit 5A, mitochondrial	9606.ENSP00000317780	COX5A	Cytochrome c oxidase subunit 5A, mitochondrial; Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol- cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane [...] 
225	DNA-directed RNA polymerase, mitochondrial	9606.ENSP00000465759	POLRMT	DNA-directed RNA polymerase, mitochondrial; DNA-dependent RNA polymerase catalyzes the transcription of mitochondrial DNA into RNA using the four ribonucleoside triphosphates as substrates. Component of the mitochondrial transcription initiation complex, composed at least of TFB2M, TFAM and POLRMT that is required for basal transcription of mitochondrial DNA. In this complex, TFAM recruits POLRMT to a specific promoter whereas TFB2M induces structural changes in POLRMT to enable promoter opening and trapping of the DNA non-template strand.
226	Protein mago nashi homolog 2	9606.ENSP00000319240	MAGOHB	Protein mago nashi homolog 2; Required for pre-mRNA splicing as component of the spliceosome. Plays a redundant role with MAGOH in the exon junction complex and in the nonsense-mediated decay (NMD) pathway.
227	Serpin B8	9606.ENSP00000331368	SERPINB8	Serpin B8; Has an important role in epithelial desmosome-mediated cell- cell adhesion; Belongs to the serpin family. Ov-serpin subfamily.
228	Guanine nucleotide-binding protein G(i) subunit alpha-2	9606.ENSP00000312999	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2; Guanine nucleotide-binding proteins (G proteins) are involved as modulators or transducers in various transmembrane signaling systems. The G(i) proteins are involved in hormonal regulation of adenylate cyclase: they inhibit the cyclase in response to beta- adrenergic stimuli. May play a role in cell division.
229	Cytochrome P450 20A1	9606.ENSP00000348380	CYP20A1	Cytochrome P450 family 20 subfamily A member 1.
230	Protein PML	9606.ENSP00000268058	PML	Protein PML; Functions via its association with PML-nuclear bodies (PML- NBs) in a wide range of important cellular processes, including tumor suppression, transcriptional regulation, apoptosis, senescence, DNA damage response, and viral defense mechanisms. Acts as the scaffold of PML-NBs allowing other proteins to shuttle in and out, a process which is regulated by SUMO-mediated modifications and interactions. Isoform PML-4 has a multifaceted role in the regulation of apoptosis and growth suppression: activates RB1 and inhibits AKT1 via interactions with PP1 and PP2A phosphatases resp [...] 
231	Endoplasmic reticulum resident protein 44	9606.ENSP00000262455	ERP44	Endoplasmic reticulum resident protein 44; Mediates thiol-dependent retention in the early secretory pathway, forming mixed disulfides with substrate proteins through its conserved CRFS motif. Inhibits the calcium channel activity of ITPR1. May have a role in the control of oxidative protein folding in the endoplasmic reticulum. Required to retain ERO1A and ERO1B in the endoplasmic reticulum.
232	Leukotriene A-4 hydrolase	9606.ENSP00000228740	LTA4H	Leukotriene A-4 hydrolase; Epoxide hydrolase that catalyzes the final step in the biosynthesis of the proinflammatory mediator leukotriene B4. Has also aminopeptidase activity.
233	G-protein-signaling modulator 1	9606.ENSP00000392828	GPSM1	G-protein-signaling modulator 1; Guanine nucleotide dissociation inhibitor (GDI) which functions as a receptor-independent activator of heterotrimeric G- protein signaling. Keeps G(i/o) alpha subunit in its GDP-bound form thus uncoupling heterotrimeric G-proteins signaling from G protein- coupled receptors. Controls spindle orientation and asymmetric cell fate of cerebral cortical progenitors. May also be involved in macroautophagy in intestinal cells. May play a role in drug addiction. Belongs to the GPSM family.
234	Protein disulfide-isomerase A3	9606.ENSP00000300289	PDIA3	Protein disulfide-isomerase A3; Protein disulfide isomerase family A member 3; Belongs to the protein disulfide isomerase family.
235	CSC1-like protein 1	9606.ENSP00000355800	TMEM63A	CSC1-like protein 1; Acts as an osmosensitive calcium-permeable cation channel. Mechanosensitive ion channel that converts mechanical stimuli into a flow of ion.
236	Dual specificity mitogen-activated protein kinase kinase 6	9606.ENSP00000468348	MAP2K6	Dual specificity mitogen-activated protein kinase kinase 6; Dual specificity protein kinase which acts as an essential component of the MAP kinase signal transduction pathway. With MAP3K3/MKK3, catalyzes the concomitant phosphorylation of a threonine and a tyrosine residue in the MAP kinases p38 MAPK11, MAPK12, MAPK13 and MAPK14 and plays an important role in the regulation of cellular responses to cytokines and all kinds of stresses. Especially, MAP2K3/MKK3 and MAP2K6/MKK6 are both essential for the activation of MAPK11 and MAPK13 induced by environmental stress, whereas MAP2K6/MKK6 i [...] 
237	Zinc finger CCHC domain-containing protein 3	9606.ENSP00000484056	ZCCHC3	Zinc finger CCHC domain-containing protein 3; Nucleic acid-binding protein involved in innate immune response to DNA and RNA viruses. Binds DNA and RNA in the cytoplasm and acts by promoting recognition of viral nucleic acids by virus sensors, such as DDX58/RIG-I, IFIH1/MDA5 and CGAS. Acts as a co-sensor for recognition of double-stranded DNA (dsDNA) by cGAS in the cytoplasm, thereby playing a role in innate immune response to cytosolic dsDNA and DNA virus. Binds dsDNA and probably acts by promoting sensing of dsDNA by CGAS, leading to enhance CGAS oligomerization and activation. Promo [...] 
238	Leupaxin	9606.ENSP00000431284	LPXN	Leupaxin; Transcriptional coactivator for androgen receptor (AR) and serum response factor (SRF). Contributes to the regulation of cell adhesion, spreading and cell migration and acts as a negative regulator in integrin-mediated cell adhesion events. Suppresses the integrin- induced tyrosine phosphorylation of paxillin (PXN). May play a critical role as an adapter protein in the formation of the adhesion zone in osteoclasts. Negatively regulates B-cell antigen receptor (BCR) signaling.
239	Cytosolic acyl coenzyme A thioester hydrolase	9606.ENSP00000367086	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase; Acyl-CoA thioesterases are a group of enzymes that catalyze the hydrolysis of acyl-CoAs to the free fatty acid and coenzyme A (CoASH), providing the potential to regulate intracellular levels of acyl-CoAs, free fatty acids and CoASH. Acyl-coenzyme A thioesterase 7/ACOT7 preferentially hydrolyzes palmitoyl-CoA, but has a broad specificity acting on other fatty acyl-CoAs with chain-lengths of C8-C18. May play an important physiological function in brain.
240	Rho-related GTP-binding protein RhoG	9606.ENSP00000339467	RHOG	Rho-related GTP-binding protein RhoG; Required for the formation of membrane ruffles during macropinocytosis. Plays a role in cell migration and is required for the formation of cup-like structures during trans-endothelial migration of leukocytes. In case of Salmonella enterica infection, activated by SopB and ARHGEF26/SGEF, which induces cytoskeleton rearrangements and promotes bacterial entry. Belongs to the small GTPase superfamily. Rho family.
241	Thymidylate synthase	9606.ENSP00000315644	TYMS	Thymidylate synthase; Contributes to the de novo mitochondrial thymidylate biosynthesis pathway.
242	Cytokine receptor-like factor 3	9606.ENSP00000318804	CRLF3	Cytokine receptor-like factor 3; May play a role in the negative regulation of cell cycle progression.
243	Signal peptidase complex subunit 3	9606.ENSP00000427463	SPCS3	Signal peptidase complex subunit 3; Component of the microsomal signal peptidase complex which removes signal peptides and other N-terminal peptides from nascent proteins as they are translocated into the lumen of the endoplasmic reticulum; Belongs to the SPCS3 family.
244	Ras-related protein Rab-27A	9606.ENSP00000379601	RAB27A	Ras-related protein Rab-27A; Small GTPase which cycles between active GTP-bound and inactive GDP-bound states. In its active state, binds to a variety of effector proteins to regulate homeostasis of late endocytic pathway, including endosomal positioning, maturation and secretion. Plays a role in cytotoxic granule exocytosis in lymphocytes. Required for both granule maturation and granule docking and priming at the immunologic synapse.
245	Charged multivesicular body protein 5	9606.ENSP00000223500	CHMP5	Charged multivesicular body protein 5; Probable peripherally associated component of the endosomal sorting required for transport complex III (ESCRT-III) which is involved in multivesicular bodies (MVBs) formation and sorting of endosomal cargo proteins into MVBs. MVBs contain intraluminal vesicles (ILVs) that are generated by invagination and scission from the limiting membrane of the endosome and mostly are delivered to lysosomes enabling degradation of membrane proteins, such as stimulated growth factor receptors, lysosomal enzymes and lipids. The MVB pathway appears to require the  [...] 
246	Laminin subunit beta-1	9606.ENSP00000222399	LAMB1	Laminin subunit beta-1; Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components. Involved in the organization of the laminar architecture of cerebral cortex. It is probably required for the integrity of the basement membrane/glia limitans that serves as an anchor point for the endfeet of radial glial cells and as a physical barrier to migrating neurons. Radial glial cells play a central role in cerebral cortical dev [...] 
247	Protein SON	9606.ENSP00000348984	SON	Protein SON; RNA-binding protein that acts as a mRNA splicing cofactor by promoting efficient splicing of transcripts that possess weak splice sites. Specifically promotes splicing of many cell-cycle and DNA-repair transcripts that possess weak splice sites, such as TUBG1, KATNB1, TUBGCP2, AURKB, PCNT, AKT1, RAD23A, and FANCG. Probably acts by facilitating the interaction between Serine/arginine-rich proteins such as SRSF2 and the RNA polymerase II. Also binds to DNA; binds to the consensus DNA sequence: 5'-GA[GT]AN[CG][AG]CC-3'. May indirectly repress hepatitis B virus (HBV) core prom [...] 
248	Proteasome subunit beta type	9606.ENSP00000351314	PSMB10	Proteasome subunit beta type-10; The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity. This subunit is involved in antigen processing to generate class I binding peptides.
249	Coiled-coil and C2 domain-containing protein 1B	9606.ENSP00000360642	CC2D1B	Coiled-coil and C2 domain-containing protein 1B; Transcription factor that binds specifically to the DRE (dual repressor element) and represses HTR1A gene transcription in neuronal cells.
